date,gold,volume
2012-12-13,1692.75,171357.0
2012-12-14,1696.25,85242.0
2012-12-17,1695.75,93926.0
2012-12-18,1694.0,180399.0
2012-12-19,1665.0,157436.0
2012-12-20,1650.5,189984.0
2012-12-21,1651.5,136092.0
2012-12-27,1655.5,95883.0
2012-12-28,1657.5,75137.0
2013-01-02,1693.75,132828.0
2013-01-03,1679.5,143786.0
2013-01-04,1648.0,252725.0
2013-01-07,1645.25,140819.0
2013-01-08,1656.0,146839.0
2013-01-09,1657.75,131709.0
2013-01-10,1675.0,159320.0
2013-01-11,1657.5,176075.0
2013-01-14,1666.5,126856.0
2013-01-15,1680.5,149770.0
2013-01-16,1676.25,137525.0
2013-01-17,1675.0,202942.0
2013-01-18,1688.5,115543.0
2013-01-22,1690.5,165132.0
2013-01-23,1690.25,141433.0
2013-01-24,1671.0,179960.0
2013-01-25,1660.0,162110.0
2013-01-28,1656.5,184378.0
2013-01-29,1663.5,145863.0
2013-01-30,1677.5,183223.0
2013-01-31,1664.75,159622.0
2013-02-01,1669.0,177049.0
2013-02-04,1666.0,112527.0
2013-02-05,1673.5,154153.0
2013-02-06,1674.25,97162.0
2013-02-07,1668.0,183505.0
2013-02-08,1668.25,94741.0
2013-02-11,1652.0,161668.0
2013-02-12,1647.5,137082.0
2013-02-13,1645.0,130849.0
2013-02-14,1646.0,174428.0
2013-02-15,1612.25,258379.0
2013-02-19,1607.75,220226.0
2013-02-20,1588.5,260413.0
2013-02-21,1577.0,223531.0
2013-02-22,1576.5,142206.0
2013-02-25,1586.25,164113.0
2013-02-26,1590.5,254857.0
2013-02-27,1604.25,172158.0
2013-02-28,1588.5,190164.0
2013-03-01,1582.25,193691.0
2013-03-04,1574.25,122907.0
2013-03-05,1579.75,146718.0
2013-03-06,1574.0,169868.0
2013-03-07,1579.5,141571.0
2013-03-08,1581.75,213955.0
2013-03-11,1579.0,101213.0
2013-03-12,1594.0,150411.0
2013-03-13,1589.25,141795.0
2013-03-14,1586.0,144163.0
2013-03-15,1595.5,98990.0
2013-03-18,1603.75,176071.0
2013-03-19,1610.75,165885.0
2013-03-20,1607.5,127570.0
2013-03-21,1613.75,130590.0
2013-03-22,1607.75,138726.0
2013-03-25,1599.25,234090.0
2013-03-26,1598.0,165484.0
2013-03-27,1603.0,179889.0
2013-03-28,1598.25,123526.0
2013-04-02,1583.5,165691.0
2013-04-03,1574.75,209509.0
2013-04-04,1546.5,188525.0
2013-04-05,1568.0,190804.0
2013-04-08,1575.0,111703.0
2013-04-09,1577.25,126551.0
2013-04-10,1575.0,176373.0
2013-04-11,1565.0,137757.0
2013-04-12,1535.5,374344.0
2013-04-15,1395.0,700344.0
2013-04-16,1380.0,424780.0
2013-04-17,1392.0,255303.0
2013-04-18,1393.75,246906.0
2013-04-19,1405.5,199699.0
2013-04-22,1424.5,186680.0
2013-04-23,1408.0,215906.0
2013-04-24,1428.5,142300.0
2013-04-25,1451.0,197319.0
2013-04-26,1471.5,239659.0
2013-04-29,1467.5,122508.0
2013-04-30,1469.0,154104.0
2013-05-01,1454.75,170191.0
2013-05-02,1469.25,152834.0
2013-05-03,1469.25,175030.0
2013-05-07,1444.25,192504.0
2013-05-08,1468.0,158956.0
2013-05-09,1465.5,162465.0
2013-05-10,1426.5,231401.0
2013-05-13,1430.75,151009.0
